county,population,income,home_value
Los Angeles County,9848406,87760,783300
Cook County,5185812,81797,305200
Harris County,4758579,73104,255000
Maricopa County,4491987,85518,414700
San Diego County,3282782,102285,791600
Orange County,3164063,113702,915500
Miami-Dade County,2685296,68694,425400
Kings County,2646306,78548,889700
Dallas County,2603816,74149,277900
Riverside County,2449909,89672,510300
Queens County,2330124,84961,699200
Clark County,2293764,73845,400800
King County,2262713,122148,811200
San Bernardino County,2187816,82184,475000
Tarrant County,2135743,81905,294100
Bexar County,2037344,70571,244100
Broward County,1946127,74534,380400
Santa Clara County,1903297,159674,1382800
Wayne County,1773767,59521,170200
Alameda County,1651949,126240,1057400
New York County,1627788,104553,1108900
Middlesex County,1622896,126779,687200
Sacramento County,1584047,88724,498900
Philadelphia County,1582432,60698,232400
Suffolk County,1525680,128329,539500
Palm Beach County,1507453,81115,407300
Hillsborough County,1489634,75011,333300
Orange County,1440471,77011,358300
Bronx County,1419250,49036,517000
Nassau County,1388138,143408,658700
Franklin County,1321635,73795,265700
Travis County,1307625,97169,487600
Oakland County,1272294,95296,320400
Hennepin County,1268903,96339,376500
Cuyahoga County,1249418,62823,183200
Allegheny County,1240476,76393,216700
Salt Lake County,1184689,94658,484500
Contra Costa County,1161458,125727,830800
Wake County,1151009,101763,422800
Fairfax County,1144474,150113,699700
Mecklenburg County,1130906,83765,371200
Collin County,1116601,117588,447600
Fulton County,1068507,91490,431200
Montgomery County,1057586,128733,615200
Pima County,1049947,67929,286900
Fresno County,1012152,71434,362600
Duval County,1007189,68447,274900
Honolulu County,1003666,104264,873000
Westchester County,996888,118411,638400
St. Louis County,996618,81340,260700
Marion County,971822,63450,207000
Capitol Planning Region,969029,91541,298200
Gwinnett County,966972,84823,345700
Pinellas County,960565,70293,319000
Prince George's County,955584,100708,404300
Bergen County,954717,123715,593200
Erie County,950044,71175,217400
Denton County,945644,108185,403400
Milwaukee County,927656,62118,216500
DuPage County,927263,110502,374100
Pierce County,924106,96632,484400
Shelby County,922195,62337,229700
Kern County,910433,67660,310600
Hidalgo County,880921,52281,124000
Macomb County,877624,76399,231400
El Paso County,866275,58859,167300
Worcester County,861664,93561,390700
Middlesex County,861535,109028,439300
Montgomery County,861225,111521,409900
Fort Bend County,859721,113409,350300
Essex County,854130,76712,494400
Baltimore County,849586,90904,330000
Ventura County,838259,107327,768400
San Francisco County,836321,141446,1380500
Snohomish County,834648,107982,644600
Hamilton County,827878,70816,225700
Essex County,807258,99431,584000
Multnomah County,803863,86247,528000
Oklahoma County,800487,65374,207800
Lee County,792692,73099,326300
San Joaquin County,787416,88531,494500
Suffolk County,782172,92859,680700
Jefferson County,777392,67849,237200
Cobb County,769152,98712,373700
DeKalb County,762105,77683,331400
Polk County,760961,63644,240000
Monroe County,754068,74409,197100
San Mateo County,745100,156000,1494500
El Paso County,736008,87470,431000
Norfolk County,724540,126497,649400
Jackson County,717021,67178,213300
Denver County,713734,91681,586700
Lake County,711885,108917,326600
Hudson County,710478,90032,508600
Davidson County,709846,75664,386600
Will County,698450,107799,298000
Utah County,683622,96877,489200
Bernalillo County,674357,66514,268500
Tulsa County,673708,67317,213500
District of Columbia,672079,106287,724600
