county,population,income,home_value
"Los Angeles County, California",9848406,87760,783300
"Cook County, Illinois",5185812,81797,305200
"Harris County, Texas",4758579,73104,255000
"Maricopa County, Arizona",4491987,85518,414700
"San Diego County, California",3282782,102285,791600
"Orange County, California",3164063,113702,915500
"Miami-Dade County, Florida",2685296,68694,425400
"Kings County, New York",2646306,78548,889700
"Dallas County, Texas",2603816,74149,277900
"Riverside County, California",2449909,89672,510300
"Queens County, New York",2330124,84961,699200
"Clark County, Nevada",2293764,73845,400800
"King County, Washington",2262713,122148,811200
"San Bernardino County, California",2187816,82184,475000
"Tarrant County, Texas",2135743,81905,294100
"Bexar County, Texas",2037344,70571,244100
"Broward County, Florida",1946127,74534,380400
"Santa Clara County, California",1903297,159674,1382800
"Wayne County, Michigan",1773767,59521,170200
"Alameda County, California",1651949,126240,1057400
"New York County, New York",1627788,104553,1108900
"Middlesex County, Massachusetts",1622896,126779,687200
"Sacramento County, California",1584047,88724,498900
"Philadelphia County, Pennsylvania",1582432,60698,232400
"Suffolk County, New York",1525680,128329,539500
"Palm Beach County, Florida",1507453,81115,407300
"Hillsborough County, Florida",1489634,75011,333300
"Orange County, Florida",1440471,77011,358300
"Bronx County, New York",1419250,49036,517000
"Nassau County, New York",1388138,143408,658700
"Franklin County, Ohio",1321635,73795,265700
"Travis County, Texas",1307625,97169,487600
"Oakland County, Michigan",1272294,95296,320400
"Hennepin County, Minnesota",1268903,96339,376500
"Cuyahoga County, Ohio",1249418,62823,183200
"Allegheny County, Pennsylvania",1240476,76393,216700
"Salt Lake County, Utah",1184689,94658,484500
"Contra Costa County, California",1161458,125727,830800
"Wake County, North Carolina",1151009,101763,422800
"Fairfax County, Virginia",1144474,150113,699700
"Mecklenburg County, North Carolina",1130906,83765,371200
"Collin County, Texas",1116601,117588,447600
"Fulton County, Georgia",1068507,91490,431200
"Montgomery County, Maryland",1057586,128733,615200
"Pima County, Arizona",1049947,67929,286900
"Fresno County, California",1012152,71434,362600
"Duval County, Florida",1007189,68447,274900
"Honolulu County, Hawaii",1003666,104264,873000
"Westchester County, New York",996888,118411,638400
"St. Louis County, Missouri",996618,81340,260700
"Marion County, Indiana",971822,63450,207000
"Capitol Planning Region, Connecticut",969029,91541,298200
"Gwinnett County, Georgia",966972,84823,345700
"Pinellas County, Florida",960565,70293,319000
"Prince George's County, Maryland",955584,100708,404300
"Bergen County, New Jersey",954717,123715,593200
"Erie County, New York",950044,71175,217400
"Denton County, Texas",945644,108185,403400
"Milwaukee County, Wisconsin",927656,62118,216500
"DuPage County, Illinois",927263,110502,374100
"Pierce County, Washington",924106,96632,484400
"Shelby County, Tennessee",922195,62337,229700
"Kern County, California",910433,67660,310600
"Hidalgo County, Texas",880921,52281,124000
"Macomb County, Michigan",877624,76399,231400
"El Paso County, Texas",866275,58859,167300
"Worcester County, Massachusetts",861664,93561,390700
"Middlesex County, New Jersey",861535,109028,439300
"Montgomery County, Pennsylvania",861225,111521,409900
"Fort Bend County, Texas",859721,113409,350300
"Essex County, New Jersey",854130,76712,494400
"Baltimore County, Maryland",849586,90904,330000
"Ventura County, California",838259,107327,768400
"San Francisco County, California",836321,141446,1380500
"Snohomish County, Washington",834648,107982,644600
"Hamilton County, Ohio",827878,70816,225700
"Essex County, Massachusetts",807258,99431,584000
"Multnomah County, Oregon",803863,86247,528000
"Oklahoma County, Oklahoma",800487,65374,207800
"Lee County, Florida",792692,73099,326300
"San Joaquin County, California",787416,88531,494500
"Suffolk County, Massachusetts",782172,92859,680700
"Jefferson County, Kentucky",777392,67849,237200
"Cobb County, Georgia",769152,98712,373700
"DeKalb County, Georgia",762105,77683,331400
"Polk County, Florida",760961,63644,240000
"Monroe County, New York",754068,74409,197100
"San Mateo County, California",745100,156000,1494500
"El Paso County, Colorado",736008,87470,431000
"Norfolk County, Massachusetts",724540,126497,649400
"Jackson County, Missouri",717021,67178,213300
"Denver County, Colorado",713734,91681,586700
"Lake County, Illinois",711885,108917,326600
"Hudson County, New Jersey",710478,90032,508600
"Davidson County, Tennessee",709846,75664,386600
"Will County, Illinois",698450,107799,298000
"Utah County, Utah",683622,96877,489200
"Bernalillo County, New Mexico",674357,66514,268500
"Tulsa County, Oklahoma",673708,67317,213500
"District of Columbia, District of Columbia",672079,106287,724600
