"","date","Austin","Boston","Columbus","Dallas","KansasCity","NY.NJ","Philadelphia","Pittsburgh","SanFrancisco","SanJose","Seattle"
"1",1975-07-01,NA,NA,NA,NA,NA,NA,NA,NA,18.38,18.78,20.81
"2",1975-10-01,NA,NA,NA,40.95,NA,24.13,NA,NA,19.35,19.2,20.07
"3",1976-01-01,NA,NA,NA,39.83,44.85,23.89,NA,NA,20.33,19.82,21.81
"4",1976-04-01,NA,NA,38.83,45.51,45.44,23.4,NA,NA,22.14,20.81,22.41
"5",1976-07-01,NA,NA,38.62,42.44,46.18,24.71,NA,42.59,21.92,21.96,23.92
"6",1976-10-01,NA,NA,40.07,42.11,46.25,24.72,35.7,42.67,23.75,23.33,24.35
"7",1977-01-01,NA,NA,38.53,44.67,47.24,25.73,36.05,43.85,24.19,24.61,25.42
"8",1977-04-01,39.13,NA,39.78,51.55,49.79,25.02,37.48,45.27,26.65,26.68,26.81
"9",1977-07-01,40.7,26.38,42.13,47.05,51.77,25.72,37.28,47.47,28.3,28.93,28.7
"10",1977-10-01,43.22,24.67,42.59,49.34,53.97,25.85,39.36,50.8,28.62,29.85,30.9
"11",1978-01-01,44.48,25.09,43.91,51.71,55.73,26.1,39.86,50.2,29.24,30.78,32.55
"12",1978-04-01,46.54,26.59,46.23,56.79,57.94,28.01,39.19,54.73,30.08,31.47,35.65
"13",1978-07-01,48.09,30.14,46.73,58.05,59.84,28.3,38.37,56.21,30.64,31.74,37.8
"14",1978-10-01,49.29,29.79,47.57,60.03,60.39,28.7,39.35,54.46,31.52,32.59,39.33
"15",1979-01-01,52.24,32.24,49.67,62.22,62.69,31.62,41.16,56.6,33.79,34.23,40
"16",1979-04-01,52.67,31.93,51.44,67.79,65.01,32.73,42.71,57.87,35.29,35.95,42.27
"17",1979-07-01,56.02,32.72,52.25,69.21,66.54,33.86,42.86,58.98,37.91,38.32,43.37
"18",1979-10-01,59.05,33.35,54.36,71.9,68.73,34.12,43.22,60.07,40.28,40.51,45.15
"19",1980-01-01,58.35,34.54,52.67,74.72,68.54,36.3,44.64,59.69,42.38,42.84,46.4
"20",1980-04-01,63.63,36.12,53.18,75.98,69.08,37.52,44.46,58.6,43.75,44.61,46.02
"21",1980-07-01,60.52,37.74,55.59,78.21,72.11,37.29,46.46,60.28,45.53,46.46,47.74
