year,Austin,Boston,Columbus,Dallas,KansasCity,NewYork,Philadelphia,Pittsburgh,SanFrancisco,SanJose,Seattle
1997-01-01,40250,36260,39498,40960,31506,38224,28897,38893,43405,59639,51300
1998-01-01,43489,37931,41267,42736,33250,41590,29560,39887,47239,63298,52435
1999-01-01,45437,37950,41866,41913,34679,42436,29210,39094,51291,68619,52893
2000-01-01,48406,40641,45076,43550,35959,44085,30720,41269,55761,74705,55158
2001-01-01,47858,39621,44778,42421,35324,42732,29946,40799,54779,72869,53982
2002-01-01,46543,39993,44199,41271,34963,43239,29540,41063,53087,70216,53644
2003-01-01,45314,40089,44967,41256,37158,43930,30517,41468,51402,68223,53541
2004-01-01,45288,41517,45459,41947,38047,45290,30892,42182,51815,68842,55969
2005-01-01,48199,43155,45463,42791,39793,55561,32671,41602,57476,76686,58351
2006-01-01,50825,47312,45886,44894,39698,59542,33368,43709,64648,80775,63291
2007-01-01,53209,49853,48076,46468,40129,63704,35431,46402,67333,84265,66969
2008-01-01,55650,51145,51246,47155,48602,68402,37090,48778,73127,88525,70091
2009-01-01,53434,53751,47460,46044,45390,68295,36959,46212,70247,84990,67706
2010-01-01,51905,49584,47621,46909,42982,63188,34667,47490,70883,84627,66147
2011-01-01,53303,49033,47174,47335,45364,65833,34433,49682,69354,84741,68596
2012-01-01,57293,50884,50053,47343,42548,66739,35518,50831,72093,91195,68944
2013-01-01,60372,54164,51456,47902,45931,71443,36918,51400,76933,91843,71779
2014-01-01,61779,54280,53164,50118,45115,75459,39037,52385,83788,97219,75738
2015-01-01,65244,56530,53939,51824,44020,75136,41210,54412,90527,102191,81816
2016-01-01,70068,61367,56090,54429,50116,77214,41514,56099,101873,110843,85907
2017-01-01,72785,65999,59214,56732,46249,84133,40193,58547,109601,118468,89519
2018-01-01,76255,68743,60383,59838,47974,84610,46149,59881,110601,125933,94822
2019-01-01,80690,75843,64648,61807,49785,93007,47598,64799,121795,132444,102338
2020-01-01,82605,85221,62643,65770,52899,87745,55102,64236,121722,139462,102620
2021-01-01,84519,77163,66056,63549,52283,84371,52882,68874,119776,141161,110351
2022-01-01,95151,84548,69762,70871,56856,95514,56385,71973,135366,150502,116044
