Fact,"Population estimates, July 1, 2023, (V2023)","Population, Census, April 1, 2010","Median value of owner-occupied housing units, 2019-2023","Median households income (in 2023 dollars), 2019-2023","Per capita income in past 12 months (in 2023 dollars), 2019-2023"
"Los Angeles County, California",9663345,9818605,783300,87760,44319
"Cook County, Illinois",5087072,5194675,305200,81797,47801
"Harris County, Texas",4835125,4092459,255000,73104,39978
"Maricopa County, Arizona",4585871,3817117,414700,85518,44210
"San Diego County, California",3269973,3095313,791600,102285,49891
"Orange County, California",3135755,3010232,915500,113702,52816
"Miami-Dade County, Florida",2686867,2496435,425400,68694,37858
"Dallas County, Texas",2606358,2368139,277900,74149,41272
"Kings County, New York",2561225,2504700,889700,78548,46057
"Riverside County, California",2492442,2189641,510300,89672,37162
"Clark County, Nevada",2336573,1951269,400800,73845,38654
"King County, Washington",2271380,1931249,811200,122148,71062
"Queens County, New York",2252196,2230722,699200,84961,41160
"San Bernardino County, California",2195611,2035210,475000,82184,33180
"Tarrant County, Texas",2182947,1809034,294100,81905,41364
"Bexar County, Texas",2087679,1714773,244100,70571,35795
"Broward County, Florida",1962531,1748066,380400,74534,41910
"Santa Clara County, California",1877592,1781642,1382800,159674,77018
"Wayne County, Michigan",1751169,1820584,170200,59521,33956
"Middlesex County, Massachusetts",1623952,1503085,687200,126779,67471
"Alameda County, California",1622188,1510271,1057400,126240,63442
"New York County, New York",1597451,1585873,1108900,104553,94922
"Sacramento County, California",1584288,1418788,498900,88724,41989
"Philadelphia County, Pennsylvania",1550542,1526006,232400,60698,37669
"Hillsborough County, Florida",1535564,1229226,333300,75011,41980
"Palm Beach County, Florida",1533801,1320134,407300,81115,50998
"Suffolk County, New York",1523170,1493350,539500,128329,56341
"Orange County, Florida",1471416,1145956,358300,77011,39640
"Nassau County, New York",1381715,1339532,658700,143408,62743
"Bronx County, New York",1356476,1385108,517000,49036,26956
"Travis County, Texas",1334961,1024266,487600,97169,59289
"Franklin County, Ohio",1326063,1163414,265700,73795,42855
"Oakland County, Michigan",1270426,1202362,320400,95296,55114
"Hennepin County, Minnesota",1258713,1152425,376500,96339,57633
"Cuyahoga County, Ohio",1233088,1280122,183200,62823,41559
"Allegheny County, Pennsylvania",1224825,1223348,216700,76393,48208
"Collin County, Texas",1195359,782341,447600,117588,55057
"Wake County, North Carolina",1190275,900993,422800,101763,52949
"Salt Lake County, Utah",1185813,1029655,484500,94658,43393
"Mecklenburg County, North Carolina",1163701,919628,371200,83765,51490
"Contra Costa County, California",1155025,1049025,830800,125727,61727
"Fairfax County, Virginia",1141878,1081726,699700,150113,69971
"Fulton County, Georgia",1079105,920581,431200,91490,61438
"Pima County, Arizona",1063162,980263,286900,67929,38564
"Montgomery County, Maryland",1058474,971777,615200,128733,66124
"Duval County, Florida",1030822,864263,274900,68447,38827
"Fresno County, California",1017162,930450,362600,71434,31777
"Denton County, Texas",1007703,662614,403400,108185,52909
"Westchester County, New York",990817,949113,638400,118411,70607
"Honolulu County, Hawaii",989408,953207,873000,104264,46361
"Erie County, New York",946147,919040,217400,71175,41560
"Milwaukee County, Wisconsin",916205,947735,216500,62118,36955
"San Francisco County, California",808988,805235,1380500,141446,90285
"Suffolk County, Massachusetts",768425,722023,680700,92859,56920
"Jackson County, Missouri",718560,674158,213300,67178,38344
"Denver County, Colorado",716577,600158,"586,700.0",91681,61202
